,Date,Price,Open,High,Low,Vol
1429,"Nov 29, 2013",10.80,10.90,10.95,10.60,2.62M
1430,"Nov 28, 2013",11.00,11.05,11.10,10.90,9.10M
1431,"Nov 27, 2013",11.00,11.00,11.20,10.95,9.02M
1432,"Nov 26, 2013",11.00,11.00,11.10,10.95,53.18M
1433,"Nov 25, 2013",10.95,10.80,11.05,10.80,13.83M
1434,"Nov 22, 2013",10.75,10.60,10.90,10.60,33.61M
1435,"Nov 21, 2013",10.60,10.20,10.75,10.20,22.97M
1436,"Nov 20, 2013",10.05,10.00,10.30,9.95,6.70M
1437,"Nov 19, 2013",9.95,9.85,10.10,9.85,8.03M
1438,"Nov 18, 2013",9.90,9.85,10.00,9.85,6.52M
1439,"Nov 15, 2013",9.85,9.90,9.95,9.80,8.73M
1440,"Nov 14, 2013",9.85,9.80,9.95,9.80,16.21M
1441,"Nov 13, 2013",9.80,9.80,10.00,9.75,5.73M
1442,"Nov 12, 2013",9.80,9.85,9.90,9.75,9.92M
1443,"Nov 11, 2013",9.80,9.65,9.90,9.50,7.12M
1444,"Nov 08, 2013",9.75,9.85,9.95,9.60,13.60M
1445,"Nov 07, 2013",9.85,9.45,9.95,9.45,23.78M
1446,"Nov 06, 2013",9.70,9.70,10.20,9.45,42.03M
1447,"Nov 05, 2013",9.65,9.70,9.80,9.30,16.23M
1448,"Nov 04, 2013",9.70,9.55,9.90,9.50,15.07M
1449,"Nov 01, 2013",9.55,9.50,9.70,9.50,3.39M
1450,"Oct 31, 2013",9.45,9.25,9.70,9.25,15.88M
1451,"Oct 30, 2013",9.25,9.05,9.40,9.05,18.02M
1452,"Oct 28, 2013",9.00,9.00,9.10,8.95,2.19M
1453,"Oct 25, 2013",9.00,9.00,9.05,8.90,10.87M
1454,"Oct 24, 2013",9.05,9.05,9.10,8.80,36.33M
1455,"Oct 23, 2013",9.05,8.50,9.10,8.20,45.10M
1456,"Oct 22, 2013",8.95,9.10,9.15,8.85,3.80M
1457,"Oct 18, 2013",9.10,9.10,9.15,9.05,21.02M
1458,"Oct 17, 2013",9.10,9.15,9.20,9.05,4.02M
1459,"Oct 16, 2013",9.15,9.20,9.25,9.10,15.95M
1460,"Oct 15, 2013",9.15,9.10,9.20,9.10,25.16M
1461,"Oct 14, 2013",9.05,9.00,9.25,9.00,26.20M
1462,"Oct 11, 2013",9.00,9.00,9.10,8.95,62.12M
1463,"Oct 10, 2013",9.00,9.15,9.15,8.80,39.75M
1464,"Oct 09, 2013",9.10,9.30,9.40,9.10,25.06M
1465,"Oct 08, 2013",9.40,9.20,9.50,9.20,28.03M
1466,"Oct 07, 2013",9.10,8.90,9.25,8.90,28.54M
1467,"Oct 04, 2013",8.90,8.90,8.95,8.90,15.07M
1468,"Oct 03, 2013",8.90,8.70,9.00,8.70,16.37M
1469,"Oct 02, 2013",8.75,8.55,8.95,8.55,14.19M
1470,"Oct 01, 2013",8.70,8.50,8.75,8.50,1.82M
1471,"Sep 30, 2013",8.50,8.35,8.70,8.25,7.22M
1472,"Sep 27, 2013",8.35,8.35,8.40,8.25,7.27M
1473,"Sep 26, 2013",8.35,8.35,8.50,8.30,8.20M
1474,"Sep 25, 2013",8.40,8.30,8.45,8.30,29.90M
1475,"Sep 24, 2013",8.25,8.20,8.35,8.20,31.57M
1476,"Sep 23, 2013",8.35,8.50,8.50,8.20,9.33M
1477,"Sep 20, 2013",8.50,8.35,8.70,8.35,16.94M
1478,"Sep 19, 2013",8.35,8.20,8.45,8.20,6.29M
1479,"Sep 18, 2013",8.20,8.20,8.30,8.20,7.85M
1480,"Sep 17, 2013",8.15,8.10,8.25,8.10,21.74M
1481,"Sep 16, 2013",8.10,8.05,8.15,8.05,13.32M
1482,"Sep 13, 2013",8.00,7.95,8.10,7.80,13.66M
1483,"Sep 12, 2013",8.05,8.05,8.15,8.05,14.29M
1484,"Sep 11, 2013",8.05,8.10,8.15,8.05,15.40M
1485,"Sep 10, 2013",8.10,8.10,8.15,8.05,7.02M
1486,"Sep 09, 2013",8.05,7.85,8.25,7.80,11.18M
1487,"Sep 06, 2013",7.85,7.75,7.90,7.75,36.50M
1488,"Sep 05, 2013",7.85,7.75,7.90,7.75,4.95M
1489,"Sep 04, 2013",7.80,7.75,7.85,7.70,12.54M
1490,"Sep 03, 2013",7.75,7.70,7.85,7.70,2.80M
1491,"Sep 02, 2013",7.65,7.70,7.80,7.60,1.30M
1492,"Aug 30, 2013",7.70,7.70,7.80,7.60,14.22M
1493,"Aug 29, 2013",7.65,7.50,7.80,7.45,86.80K
1494,"Aug 28, 2013",7.50,7.75,7.75,7.45,28.18M
1495,"Aug 27, 2013",7.75,7.90,7.95,7.65,9.07M
1496,"Aug 26, 2013",7.90,7.95,8.00,7.90,17.78M
1497,"Aug 23, 2013",7.90,7.90,7.95,7.85,3.25M
1498,"Aug 22, 2013",7.95,8.00,8.05,7.85,5.17M
1499,"Aug 21, 2013",8.05,8.20,8.20,8.00,11.97M
1500,"Aug 20, 2013",8.20,8.15,8.25,8.15,9.69M
1501,"Aug 19, 2013",8.15,8.05,8.25,8.00,22.20M
1502,"Aug 16, 2013",8.05,7.90,8.15,7.90,23.90M
1503,"Aug 15, 2013",7.90,7.70,8.00,7.70,16.76M
1504,"Aug 14, 2013",7.75,7.65,7.85,7.65,21.90M
1505,"Aug 13, 2013",7.65,7.65,7.75,7.65,3.47M
1506,"Aug 12, 2013",7.85,7.70,8.00,7.50,9.46M
1507,"Aug 08, 2013",7.70,7.40,8.00,7.40,13.82M
1508,"Aug 07, 2013",7.40,7.30,7.50,7.30,4.23M
1509,"Aug 06, 2013",7.30,7.30,7.35,7.30,1.81M
1510,"Aug 05, 2013",7.30,7.25,7.35,7.10,11.57M
1511,"Aug 02, 2013",7.25,7.30,7.35,7.25,9.79M
1512,"Aug 01, 2013",7.25,7.20,7.30,7.20,8.04M
1513,"Jul 31, 2013",7.30,7.30,7.35,7.20,13.75M
1514,"Jul 30, 2013",7.25,7.15,7.35,7.15,12.13M
1515,"Jul 29, 2013",7.15,7.15,7.30,7.15,10.21M
1516,"Jul 26, 2013",7.15,7.05,7.30,7.05,1.34M
1517,"Jul 25, 2013",7.05,7.05,7.20,7.05,12.05M
1518,"Jul 24, 2013",7.05,7.00,7.20,7.00,5.06M
1519,"Jul 23, 2013",7.00,7.10,7.10,7.00,21.68M
1520,"Jul 22, 2013",7.10,7.25,7.30,7.00,6.96M
1521,"Jul 19, 2013",7.25,7.35,7.35,7.20,4.64M
1522,"Jul 18, 2013",7.30,7.30,7.45,7.20,15.68M
1523,"Jul 17, 2013",7.35,7.55,7.55,7.20,38.64M
1524,"Jul 16, 2013",7.40,7.30,7.50,7.30,7.01M
1525,"Jul 15, 2013",7.30,7.10,7.50,7.10,13.52M
1526,"Jul 12, 2013",7.05,6.90,7.15,6.90,37.89M
1527,"Jul 11, 2013",6.90,6.75,7.00,6.75,1.57M
1528,"Jul 10, 2013",6.75,6.70,6.85,6.65,20.35M
1529,"Jul 09, 2013",6.70,6.70,6.75,6.60,7.49M
1530,"Jul 08, 2013",6.75,6.75,6.80,6.55,33.75M
1531,"Jul 05, 2013",6.75,6.45,6.85,6.45,14.03M
1532,"Jul 04, 2013",6.45,6.40,6.60,6.30,7.17M
1533,"Jul 03, 2013",6.35,6.40,6.50,6.25,23.66M
1534,"Jul 02, 2013",6.40,6.40,6.50,6.15,26.43M
1535,"Jul 01, 2013",6.45,6.50,6.60,6.35,8.28M
1536,"Jun 28, 2013",6.55,6.50,6.65,6.45,3.53M
1537,"Jun 27, 2013",6.50,6.60,6.65,6.45,28.68M
1538,"Jun 26, 2013",6.65,6.65,6.75,6.60,3.01M
1539,"Jun 25, 2013",6.75,6.70,6.80,6.65,16.33M
1540,"Jun 24, 2013",6.70,6.75,6.75,6.65,2.14M
1541,"Jun 21, 2013",6.75,6.85,6.85,6.70,19.16M
1542,"Jun 20, 2013",6.90,6.95,6.95,6.70,55.24M
1543,"Jun 19, 2013",6.95,6.90,7.00,6.90,58.65M
1544,"Jun 18, 2013",6.90,6.80,7.00,6.80,2.25M
1545,"Jun 17, 2013",6.70,7.00,7.00,6.50,24.97M
1546,"Jun 14, 2013",7.00,7.20,7.20,6.60,12.91M
1547,"Jun 13, 2013",7.30,7.35,7.40,7.20,26.27M
1548,"Jun 12, 2013",7.35,7.35,7.45,7.30,7.46M
1549,"Jun 11, 2013",7.35,7.25,7.45,7.25,16.51M
1550,"Jun 10, 2013",7.25,7.20,7.35,7.20,5.53M
1551,"Jun 07, 2013",7.20,7.20,7.25,7.20,4.14M
1552,"Jun 06, 2013",7.15,7.10,7.25,7.10,8.19M
1553,"Jun 05, 2013",7.10,7.05,7.20,7.05,72.39M
1554,"Jun 04, 2013",7.10,7.20,7.20,7.05,70.20M
1555,"Jun 03, 2013",7.20,7.20,7.25,7.15,34.15M
1556,"May 31, 2013",7.25,7.25,7.30,7.20,33.11M
1557,"May 30, 2013",7.25,7.15,7.30,7.15,17.70M
1558,"May 29, 2013",7.15,7.05,7.25,7.05,9.11M
1559,"May 28, 2013",7.05,7.00,7.15,7.00,5.79M
1560,"May 27, 2013",7.00,7.00,7.05,6.65,4.15M
1561,"May 24, 2013",7.00,7.00,7.10,6.90,5.19M
1562,"May 23, 2013",7.05,7.10,7.10,7.00,10.23M
1563,"May 22, 2013",7.15,7.10,7.20,7.05,23.90M
1564,"May 21, 2013",7.10,7.00,7.20,7.00,14.33M
1565,"May 20, 2013",7.00,7.10,7.15,7.00,1.83M
1566,"May 17, 2013",7.15,7.25,7.25,7.10,6.27M
1567,"May 16, 2013",7.25,7.30,7.30,7.20,8.85M
1568,"May 15, 2013",7.35,7.20,7.55,7.15,60.05M
1569,"May 14, 2013",7.10,6.95,7.20,6.95,10.31M
1570,"May 13, 2013",6.90,6.85,7.00,6.80,4.88M
1571,"May 10, 2013",6.95,7.10,7.15,6.80,2.13M
1572,"May 09, 2013",7.20,7.25,7.25,7.10,30.26M
1573,"May 08, 2013",7.20,7.15,7.40,7.15,30.00M
1574,"May 07, 2013",7.15,7.10,7.20,7.10,21.73M
1575,"May 06, 2013",7.10,7.05,7.15,7.05,32.80M
1576,"May 03, 2013",7.05,7.00,7.20,7.00,30.74M
1577,"May 02, 2013",7.00,6.90,7.10,6.85,22.63M
1578,"Apr 30, 2013",6.85,6.80,6.95,6.70,11.28M
1579,"Apr 29, 2013",6.70,6.65,6.75,6.65,4.58M
1580,"Apr 26, 2013",6.65,6.60,6.70,6.60,8.19M
1581,"Apr 25, 2013",6.60,6.65,6.70,6.60,6.62M
1582,"Apr 24, 2013",6.60,6.65,6.70,6.60,14.37M
1583,"Apr 23, 2013",6.60,6.60,6.70,6.60,13.18M
1584,"Apr 22, 2013",6.60,6.60,6.65,6.55,15.18M
1585,"Apr 19, 2013",6.60,6.55,6.65,6.55,16.00M
1586,"Apr 18, 2013",6.55,6.55,6.65,6.55,34.86M
1587,"Apr 17, 2013",6.45,6.45,6.60,6.45,35.56M
1588,"Apr 16, 2013",6.40,6.35,6.50,6.30,13.53M
1589,"Apr 15, 2013",6.40,6.50,6.50,6.35,5.66M
1590,"Apr 12, 2013",6.50,6.55,6.55,6.30,11.99M
1591,"Apr 11, 2013",6.55,6.50,6.60,6.50,9.59M
1592,"Apr 10, 2013",6.45,6.40,6.60,6.35,30.86M
1593,"Apr 08, 2013",6.35,6.30,6.40,6.30,2.15M
1594,"Apr 05, 2013",6.30,6.25,6.40,6.25,8.92M
1595,"Apr 04, 2013",6.30,6.20,6.40,6.15,11.26M
1596,"Apr 03, 2013",6.15,6.05,6.25,6.05,2.48M
1597,"Apr 02, 2013",6.00,6.25,6.50,6.00,54.84M
1598,"Mar 28, 2013",6.00,5.95,6.20,5.95,6.93M
1599,"Mar 27, 2013",5.95,5.80,6.00,5.80,9.06M
1600,"Mar 26, 2013",5.80,5.80,5.85,5.60,1.71M
1601,"Mar 25, 2013",5.80,5.85,5.95,5.75,17.12M
1602,"Mar 22, 2013",5.80,5.85,5.90,5.80,3.06M
1603,"Mar 21, 2013",5.85,6.00,6.00,5.80,2.95M
1604,"Mar 20, 2013",5.95,6.00,6.00,5.85,10.67M
1605,"Mar 19, 2013",5.95,5.95,6.00,5.90,6.55M
1606,"Mar 18, 2013",6.00,5.80,6.10,5.80,18.57M
1607,"Mar 15, 2013",6.15,6.30,6.35,5.90,3.01M
1608,"Mar 14, 2013",6.30,6.30,6.40,6.25,28.09M
1609,"Mar 13, 2013",6.25,6.30,6.35,6.25,11.53M
1610,"Mar 12, 2013",6.25,6.25,6.35,6.15,24.59M
1611,"Mar 11, 2013",6.15,6.00,6.50,6.00,10.04M
1612,"Mar 08, 2013",6.00,5.90,6.10,5.90,2.75M
1613,"Mar 07, 2013",5.95,5.80,6.00,5.80,23.03M
1614,"Mar 06, 2013",5.95,5.95,6.00,5.90,24.04M
1615,"Mar 05, 2013",5.95,5.85,6.00,5.85,13.26M
1616,"Mar 01, 2013",5.80,5.75,5.90,5.75,6.74M
1617,"Feb 28, 2013",5.75,5.75,5.80,5.75,4.40M
1618,"Feb 27, 2013",5.75,5.70,5.80,5.70,8.03M
1619,"Feb 26, 2013",5.65,5.65,5.75,5.65,3.61M
1620,"Feb 25, 2013",5.65,5.65,5.70,5.65,1.23M
1621,"Feb 22, 2013",5.70,5.70,5.75,5.65,8.58M
1622,"Feb 21, 2013",5.70,5.70,5.75,5.65,15.09M
1623,"Feb 20, 2013",5.70,5.70,5.80,5.65,62.30M
1624,"Feb 19, 2013",5.65,5.60,5.70,5.60,7.96M
1625,"Feb 18, 2013",5.55,5.75,5.75,5.55,14.74M
1626,"Feb 15, 2013",5.55,5.60,5.65,5.55,1.75M
1627,"Feb 14, 2013",5.60,5.55,5.65,5.55,4.86M
1628,"Feb 13, 2013",5.70,5.70,5.75,5.55,20.90M
